Age,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
34,0.001843,0.001781,0.001461,0.001334,0.00146,0.001375,0.001372,0.001298,0.001129,0.001098,0.001081,0.00114,0.000991,0.001128,0.000994,0.000902,0.001085,0.000892,0.000979,0.000904,0.001129,0.001119,0.001069,0.001046,0.000887,0.000933,0.001049,0.00093,0.000875,0.000898,0.000937,0.000916,0.000969,0.000982,0.000912,0.000947,0.000812,0.000814,0.000745,0.000704,0.000717,0.000672,0.000663
35,0.001861,0.001766,0.001582,0.001497,0.001521,0.001404,0.001407,0.001457,0.001288,0.001272,0.001119,0.001233,0.001218,0.001193,0.001093,0.001065,0.000988,0.000986,0.001042,0.001055,0.000977,0.001144,0.00107,0.00108,0.001083,0.000991,0.001091,0.001054,0.001033,0.00101,0.000973,0.001,0.001088,0.001016,0.001019,0.000967,0.000974,0.000895,0.000845,0.000762,0.000804,0.000751,0.000674
36,0.001909,0.001756,0.001668,0.001488,0.00167,0.001596,0.001476,0.00155,0.001411,0.001282,0.00137,0.00137,0.001258,0.001364,0.001208,0.0011,0.001096,0.001239,0.001128,0.001147,0.001062,0.001195,0.001354,0.001104,0.001082,0.00115,0.001326,0.001252,0.001241,0.0012,0.00103,0.001063,0.001131,0.001361,0.001107,0.001088,0.000982,0.001005,0.000971,0.000951,0.000985,0.000917,0.000834
37,0.001927,0.001847,0.001759,0.001777,0.001695,0.001705,0.001661,0.001528,0.001469,0.001409,0.001339,0.001425,0.001347,0.00127,0.001282,0.00117,0.001166,0.001248,0.001251,0.001109,0.001205,0.001241,0.001264,0.001274,0.001214,0.001212,0.001301,0.001403,0.001231,0.001333,0.00121,0.001201,0.001192,0.001353,0.001188,0.001131,0.001165,0.00113,0.001059,0.001194,0.000979,0.001057,0.000857
38,0.002179,0.002122,0.002171,0.001822,0.001795,0.001875,0.00171,0.001666,0.00154,0.001765,0.001512,0.001607,0.001441,0.001467,0.001378,0.001385,0.001391,0.00135,0.001392,0.001318,0.001376,0.001279,0.001451,0.001372,0.001388,0.001385,0.001393,0.001335,0.001431,0.00134,0.001407,0.001385,0.001425,0.001471,0.001323,0.001259,0.001356,0.001242,0.001235,0.001193,0.001153,0.001163,0.000998
39,0.002025,0.00258,0.001907,0.002108,0.001863,0.002013,0.001901,0.001783,0.001736,0.001679,0.001753,0.00184,0.00152,0.001794,0.001518,0.00155,0.001592,0.001439,0.001517,0.001526,0.001708,0.001365,0.001547,0.001654,0.001331,0.001485,0.001545,0.001704,0.001661,0.001606,0.001554,0.00149,0.001644,0.001588,0.001538,0.001535,0.001406,0.001476,0.001295,0.001239,0.001321,0.001268,0.001291
40,0.002498,0.002275,0.002361,0.002316,0.002197,0.00228,0.001965,0.001894,0.001971,0.001811,0.001793,0.001882,0.001791,0.001666,0.001564,0.001643,0.001637,0.001665,0.001655,0.00171,0.001794,0.00152,0.001698,0.00179,0.001474,0.001513,0.00187,0.001767,0.001814,0.001762,0.00161,0.001842,0.001829,0.001939,0.001784,0.001599,0.001568,0.001616,0.001493,0.001434,0.001585,0.001525,0.001363
41,0.002447,0.00265,0.002308,0.002497,0.002177,0.002327,0.002079,0.001961,0.002109,0.001879,0.002111,0.001913,0.001969,0.002106,0.001931,0.001746,0.001934,0.001821,0.00185,0.001676,0.001719,0.001716,0.001942,0.001726,0.001826,0.001789,0.001792,0.00203,0.00182,0.001967,0.001905,0.001775,0.001926,0.001912,0.002106,0.001853,0.001738,0.001704,0.001858,0.001651,0.001615,0.001628,0.001416
42,0.002665,0.002589,0.002417,0.00223,0.002855,0.002388,0.002307,0.002422,0.002091,0.001913,0.002143,0.002006,0.002037,0.002092,0.002029,0.001859,0.001995,0.001705,0.00206,0.002073,0.001761,0.001898,0.001985,0.001986,0.001834,0.00199,0.001903,0.00197,0.00218,0.002033,0.002292,0.002154,0.002161,0.002304,0.002199,0.002165,0.00201,0.00187,0.001838,0.001867,0.001777,0.001826,0.001599
43,0.003163,0.002965,0.002612,0.002737,0.00247,0.003013,0.00249,0.002223,0.002384,0.002409,0.002169,0.002448,0.002309,0.002374,0.002282,0.002288,0.002081,0.001984,0.002203,0.002175,0.002222,0.002112,0.002264,0.002262,0.002126,0.002103,0.002134,0.00234,0.002235,0.002277,0.002196,0.002291,0.002269,0.002438,0.002436,0.00218,0.002363,0.002238,0.002122,0.002049,0.001998,0.001972,0.002013
44,0.003109,0.003079,0.002877,0.002603,0.003068,0.002963,0.003062,0.002567,0.002718,0.002633,0.002566,0.002518,0.002332,0.002529,0.002128,0.002513,0.00258,0.0025,0.002327,0.002293,0.002461,0.002419,0.002573,0.002221,0.002307,0.002421,0.00226,0.00269,0.002309,0.002661,0.002457,0.002568,0.002712,0.002677,0.002696,0.002385,0.002352,0.002524,0.002395,0.002231,0.002302,0.002269,0.002184
45,0.003096,0.003501,0.003106,0.003146,0.003479,0.00292,0.002977,0.003044,0.002703,0.002845,0.002851,0.002971,0.002692,0.002891,0.002509,0.002485,0.002573,0.00251,0.002459,0.002586,0.002636,0.002751,0.002631,0.002463,0.002633,0.002416,0.002761,0.002921,0.002746,0.0029,0.00272,0.002873,0.002653,0.002943,0.002929,0.002539,0.00257,0.002652,0.002603,0.002608,0.002484,0.002505,0.002403
46,0.003555,0.003391,0.003573,0.003536,0.003281,0.003536,0.003128,0.002951,0.003437,0.003003,0.002925,0.003006,0.003173,0.003002,0.002916,0.002885,0.002783,0.00276,0.002704,0.002928,0.002737,0.002985,0.00313,0.002756,0.002998,0.002969,0.002794,0.002983,0.002975,0.003036,0.002874,0.002879,0.00303,0.003029,0.003253,0.003042,0.003175,0.002939,0.002916,0.002659,0.002743,0.002374,0.00283
47,0.003846,0.004091,0.004085,0.003757,0.003916,0.003344,0.003657,0.003825,0.003015,0.003782,0.003079,0.003379,0.003269,0.003169,0.00306,0.003266,0.003037,0.003155,0.003075,0.003118,0.003239,0.003192,0.003176,0.003071,0.003083,0.003111,0.003336,0.003107,0.003232,0.003309,0.003073,0.003169,0.003315,0.003642,0.003179,0.003123,0.003181,0.00317,0.002877,0.003065,0.002982,0.002994,0.0028
48,0.004278,0.004229,0.00391,0.003828,0.003972,0.003866,0.003661,0.003799,0.003704,0.003458,0.003689,0.00373,0.003502,0.003635,0.003385,0.003568,0.003514,0.003488,0.003526,0.003468,0.00343,0.00339,0.003847,0.003498,0.003305,0.003347,0.003465,0.003631,0.003356,0.003537,0.003276,0.003633,0.003392,0.00353,0.003799,0.003548,0.003452,0.003522,0.003202,0.003328,0.003181,0.003283,0.003159
49,0.004802,0.004858,0.004538,0.004342,0.004348,0.004131,0.004283,0.004052,0.004174,0.003657,0.004138,0.004251,0.003938,0.004004,0.003681,0.003546,0.003809,0.004069,0.004031,0.003998,0.003976,0.003674,0.003941,0.003788,0.003652,0.003802,0.003929,0.003919,0.003906,0.0039,0.003635,0.003879,0.003989,0.004075,0.00383,0.003913,0.0039,0.003924,0.003836,0.003722,0.003632,0.003615,0.003325
50,0.004663,0.00518,0.004657,0.004312,0.004675,0.004747,0.004305,0.004532,0.004539,0.00427,0.004341,0.004508,0.004499,0.004515,0.004147,0.004,0.004132,0.004066,0.004305,0.004177,0.004054,0.004061,0.004483,0.004168,0.00412,0.004317,0.004172,0.004337,0.004063,0.004186,0.004245,0.004209,0.004074,0.004311,0.004199,0.004233,0.004247,0.003774,0.003878,0.003879,0.004088,0.004101,0.003626
51,0.005343,0.005715,0.004969,0.005037,0.005259,0.005229,0.004782,0.00462,0.004891,0.004787,0.004698,0.004651,0.004302,0.00481,0.004537,0.004423,0.00424,0.004633,0.004649,0.004612,0.004696,0.004536,0.004743,0.004592,0.00453,0.004724,0.004571,0.004508,0.004861,0.004874,0.004599,0.004602,0.004267,0.004692,0.004679,0.004297,0.004202,0.00462,0.004179,0.004524,0.00432,0.004248,0.004224
52,0.005564,0.005909,0.005544,0.00568,0.00588,0.004996,0.005299,0.005161,0.005498,0.005385,0.004982,0.005207,0.005075,0.004918,0.005268,0.004921,0.004694,0.0048,0.005011,0.004742,0.00522,0.005056,0.004936,0.004988,0.004981,0.005065,0.004872,0.005087,0.005186,0.005199,0.005246,0.004725,0.005159,0.004951,0.005029,0.004753,0.004401,0.004482,0.004788,0.0047,0.004697,0.004718,0.004428
53,0.006525,0.006217,0.006162,0.005886,0.005938,0.005949,0.005475,0.005264,0.005677,0.005563,0.005576,0.005895,0.005412,0.005201,0.0052,0.005666,0.00534,0.00523,0.005126,0.005878,0.005636,0.005313,0.00563,0.005319,0.005543,0.005341,0.005479,0.005756,0.005568,0.005483,0.005382,0.005338,0.005138,0.005421,0.005128,0.005146,0.005032,0.004937,0.004957,0.005112,0.00492,0.004987,0.00485
54,0.007072,0.006569,0.006165,0.006655,0.006316,0.006594,0.006174,0.006001,0.005995,0.006017,0.005841,0.00668,0.005619,0.006042,0.005433,0.005583,0.006053,0.005939,0.005474,0.005825,0.005993,0.005878,0.006225,0.005909,0.005881,0.005827,0.005963,0.006184,0.006036,0.005883,0.005753,0.005584,0.005745,0.005796,0.005641,0.005323,0.005286,0.005482,0.005089,0.005421,0.005276,0.00475,0.005434
55,0.007608,0.007481,0.006817,0.007199,0.007375,0.006718,0.006937,0.006717,0.00648,0.006744,0.006498,0.006628,0.006811,0.006257,0.006476,0.006214,0.005748,0.007057,0.005656,0.006569,0.006224,0.006673,0.006694,0.006281,0.00631,0.006271,0.006362,0.006905,0.006828,0.006439,0.006397,0.006196,0.006376,0.00663,0.006356,0.005876,0.005856,0.005941,0.005788,0.005476,0.005718,0.00614,0.005624
56,0.008507,0.007888,0.007831,0.007353,0.007503,0.007346,0.00711,0.007267,0.006888,0.007085,0.007304,0.006826,0.006623,0.007751,0.006294,0.007043,0.006605,0.006682,0.005866,0.006899,0.007098,0.007178,0.007259,0.006884,0.007192,0.007242,0.006992,0.007375,0.007438,0.00743,0.007264,0.006888,0.00693,0.007538,0.006688,0.006516,0.006623,0.006211,0.006478,0.006535,0.006032,0.006342,0.006312
57,0.008929,0.009168,0.008227,0.008388,0.008182,0.00824,0.008125,0.008659,0.007881,0.007794,0.007172,0.007971,0.007501,0.007215,0.007648,0.007167,0.007553,0.007877,0.007386,0.007914,0.007631,0.008066,0.007808,0.0074,0.007707,0.007791,0.008101,0.007449,0.007808,0.00782,0.008083,0.007709,0.007888,0.007996,0.007401,0.006991,0.006741,0.006637,0.006795,0.006948,0.00618,0.006616,0.006285
58,0.010272,0.009206,0.009527,0.008586,0.0089,0.008717,0.009012,0.008618,0.00847,0.008612,0.007927,0.008464,0.008328,0.008237,0.008029,0.008541,0.00759,0.008013,0.009667,0.00791,0.008881,0.008634,0.008825,0.008633,0.008612,0.008381,0.008938,0.009183,0.008345,0.008715,0.008498,0.008693,0.008507,0.008088,0.008062,0.007926,0.007611,0.00742,0.007187,0.007466,0.00687,0.006766,0.00718
59,0.011584,0.011508,0.009918,0.010516,0.01,0.010044,0.009979,0.009364,0.009791,0.009479,0.009471,0.009546,0.009363,0.009174,0.00916,0.008493,0.009155,0.008284,0.010814,0.009164,0.00886,0.008611,0.00949,0.009334,0.009317,0.009301,0.009172,0.009903,0.009804,0.010005,0.009225,0.009805,0.009404,0.009003,0.009113,0.008503,0.008715,0.008298,0.007868,0.007771,0.007793,0.007803,0.007573
