Age,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
20,0.002092,0.001932,0.001664,0.001928,0.001675,0.001868,0.001495,0.001441,0.001490,0.001429,0.001548,0.001612,0.001488,0.001699,0.001704,0.001530,0.001401,0.001616,0.001478,0.001670,0.001684,0.001500,0.001765,0.001597,0.001447,0.001625,0.001414,0.001606,0.001426,0.001241,0.001119,0.001502,0.001583,0.001690,0.001513,0.001313,0.001394,0.001234,0.001193,0.001339,0.001293,0.001256,0.001161,0.001080,0.001097,0.001067,0.001062,0.000933,0.001062,0.001009,0.001156,0.001177,0.001049,0.001114,0.000973,0.000959,0.000980,0.000978,0.000773,0.000765,0.000874
21,0.002069,0.002068,0.001855,0.001863,0.001747,0.001567,0.001553,0.001693,0.001572,0.001493,0.001593,0.001490,0.001561,0.001896,0.001638,0.001715,0.001435,0.001669,0.001627,0.001783,0.001760,0.001665,0.001658,0.001552,0.001650,0.001454,0.001345,0.001442,0.001347,0.001285,0.001307,0.001641,0.001602,0.001697,0.001516,0.001303,0.001464,0.001310,0.001315,0.001342,0.001281,0.001391,0.001302,0.001173,0.001140,0.001063,0.001092,0.001084,0.001013,0.001064,0.001070,0.001090,0.001068,0.001157,0.000949,0.000914,0.000869,0.001003,0.000900,0.000824,0.000879
22,0.001977,0.001996,0.001764,0.001920,0.001905,0.001999,0.001581,0.001552,0.001718,0.001631,0.001679,0.001720,0.001596,0.001724,0.001787,0.001694,0.001491,0.001796,0.001757,0.001912,0.001782,0.001814,0.001742,0.001674,0.001643,0.001598,0.001491,0.001436,0.001540,0.001434,0.001253,0.001718,0.001715,0.001799,0.001576,0.001412,0.001485,0.001418,0.001406,0.001437,0.001442,0.001382,0.001194,0.001134,0.001099,0.001176,0.001180,0.001217,0.001191,0.001217,0.001118,0.001165,0.001063,0.000995,0.000980,0.001012,0.001026,0.000838,0.000921,0.000918,0.000930
23,0.001841,0.002040,0.001797,0.002006,0.002012,0.001866,0.001909,0.001637,0.001603,0.001938,0.001979,0.001723,0.001727,0.001851,0.001761,0.001739,0.001616,0.001861,0.001827,0.001988,0.001792,0.001909,0.001939,0.001758,0.001823,0.001781,0.001625,0.001460,0.001453,0.001485,0.001554,0.001547,0.001683,0.001697,0.001630,0.001298,0.001363,0.001421,0.001307,0.001383,0.001385,0.001262,0.001318,0.001181,0.001182,0.001201,0.001087,0.001143,0.001076,0.001070,0.001042,0.001151,0.001081,0.001099,0.001018,0.001017,0.001017,0.000916,0.000915,0.000848,0.000765
24,0.002124,0.002124,0.001921,0.002080,0.002145,0.001902,0.001819,0.001842,0.001709,0.001672,0.001997,0.001779,0.001711,0.001802,0.001828,0.001713,0.001634,0.001816,0.001872,0.001801,0.001872,0.001980,0.001939,0.001771,0.001766,0.001846,0.001629,0.001596,0.001557,0.001506,0.001232,0.001574,0.001867,0.001841,0.001671,0.001468,0.001463,0.001374,0.001415,0.001319,0.001397,0.001522,0.001183,0.001184,0.001293,0.001049,0.001091,0.001224,0.001098,0.001080,0.001009,0.001019,0.001091,0.000988,0.001021,0.001054,0.000943,0.000971,0.000917,0.000932,0.001002
25,0.002111,0.002197,0.001965,0.002367,0.002285,0.002118,0.001807,0.001764,0.001819,0.001791,0.001569,0.001871,0.001686,0.001820,0.001833,0.001768,0.001657,0.001898,0.001901,0.002051,0.001976,0.002029,0.002056,0.001698,0.001891,0.001808,0.001770,0.001570,0.001497,0.001453,0.001516,0.001831,0.001785,0.001772,0.001720,0.001530,0.001485,0.001465,0.001301,0.001508,0.001231,0.001235,0.001257,0.001312,0.001303,0.001175,0.001146,0.001184,0.001034,0.001078,0.001230,0.001104,0.001022,0.001184,0.001147,0.000975,0.000943,0.001013,0.000932,0.001033,0.001025
26,0.002100,0.002122,0.002010,0.002247,0.002056,0.001895,0.001958,0.001899,0.001879,0.001824,0.001635,0.001638,0.001951,0.001854,0.001730,0.001802,0.001736,0.001797,0.001943,0.001997,0.002047,0.002035,0.002105,0.001874,0.001806,0.001865,0.001816,0.001846,0.001555,0.001421,0.001508,0.001704,0.001833,0.001901,0.001781,0.001529,0.001389,0.001635,0.001286,0.001598,0.001351,0.001465,0.001395,0.001077,0.001215,0.001156,0.001187,0.001204,0.001093,0.001029,0.001139,0.001131,0.001039,0.001005,0.001159,0.001051,0.001017,0.001086,0.000957,0.000933,0.000965
27,0.002056,0.002118,0.001940,0.002219,0.002012,0.002171,0.001863,0.001833,0.001831,0.001813,0.002090,0.001749,0.001968,0.002081,0.001737,0.001895,0.001783,0.001930,0.001944,0.002063,0.002104,0.002048,0.002132,0.001818,0.001920,0.001986,0.001789,0.001742,0.001755,0.001629,0.001578,0.001851,0.001688,0.001855,0.001825,0.001685,0.001558,0.001762,0.001698,0.001635,0.001365,0.001557,0.001276,0.001190,0.001333,0.001220,0.001266,0.001186,0.001174,0.001235,0.001217,0.001128,0.001134,0.001060,0.001054,0.001034,0.001090,0.001005,0.001141,0.001109,0.001022
28,0.002135,0.002223,0.002002,0.002191,0.002125,0.002207,0.001932,0.001764,0.001890,0.002034,0.001899,0.001901,0.001928,0.001779,0.001840,0.001865,0.001775,0.001719,0.001921,0.002070,0.002066,0.002070,0.002182,0.002002,0.001908,0.001983,0.001951,0.001904,0.001875,0.001929,0.001845,0.001902,0.001879,0.002019,0.001866,0.001721,0.001843,0.001730,0.001460,0.001644,0.001678,0.001604,0.001473,0.001419,0.001371,0.001223,0.001228,0.001201,0.001198,0.001168,0.001149,0.001113,0.001162,0.001206,0.001141,0.001052,0.001026,0.001122,0.001000,0.001075,0.001092
29,0.002422,0.002324,0.002115,0.002367,0.002372,0.002149,0.001979,0.002001,0.001943,0.001860,0.002279,0.002008,0.001953,0.002217,0.001913,0.001938,0.002058,0.002017,0.001948,0.002114,0.002189,0.002120,0.002251,0.002075,0.002011,0.002102,0.002069,0.002009,0.001787,0.001878,0.001798,0.002052,0.002174,0.002075,0.001944,0.001761,0.001881,0.001699,0.001661,0.001758,0.001862,0.001865,0.001445,0.001492,0.001289,0.001270,0.001460,0.001350,0.001290,0.001361,0.001426,0.001172,0.001241,0.001184,0.001062,0.001128,0.001066,0.001098,0.001096,0.001183,0.001293
30,0.002458,0.002468,0.002150,0.002310,0.002336,0.002170,0.002139,0.002049,0.001938,0.002090,0.002010,0.002049,0.002157,0.002172,0.002196,0.002065,0.001951,0.002274,0.002159,0.002166,0.002483,0.002146,0.002272,0.002107,0.002284,0.002112,0.002276,0.002189,0.002079,0.001981,0.002112,0.002381,0.002407,0.002363,0.002321,0.001914,0.001979,0.001939,0.001907,0.001884,0.001632,0.001755,0.001752,0.001520,0.001525,0.001370,0.001392,0.001443,0.001444,0.001456,0.001386,0.001422,0.001173,0.001394,0.001256,0.001218,0.001304,0.001130,0.001134,0.001131,0.001188
